NAME,CCS,MW,WPATH,WPOL,MLogP,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings4,nRings5,nRings6,nRings7,nRings8,nRings9,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,HybRatio,nAtom,nAromBond,nAtomLAC,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,ALogP,ALogp2,AMR,Wlambda1.unity,Wlambda2.unity,Wlambda3.unity,Wnu1.unity,Wnu2.unity,Wgamma1.unity,Wgamma2.unity,Wgamma3.unity,Weta1.unity,Weta2.unity,Weta3.unity,WT.unity,WA.unity,WV.unity,WK.unity,WG.unity,WD.unity,khs.sLi,khs.ssBe,khs.ssssBe,khs.ssBH,khs.sssB,khs.ssssB,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH3,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sSiH3,khs.ssSiH2,khs.sssSiH,khs.ssssSi,khs.sPH2,khs.ssPH,khs.sssP,khs.dsssP,khs.sssssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sGeH3,khs.ssGeH2,khs.sssGeH,khs.ssssGe,khs.sAsH2,khs.ssAsH,khs.sssAs,khs.sssdAs,khs.sssssAs,khs.sSeH,khs.dSe,khs.ssSe,khs.aaSe,khs.dssSe,khs.ddssSe,khs.sBr,khs.sSnH3,khs.ssSnH2,khs.sssSnH,khs.ssssSn,khs.sI,khs.sPbH3,khs.ssPbH2,khs.sssPbH,khs.ssssPb,nHBDon,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,nBase,PetitjeanNumber,topoShape,geomShape,nSpiroAtoms,bpol,VABC,ECCEN,VAdjMat,nAtomLC,nAcid,XLogP,apol,LipinskiFailures,Zagreb,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,nRotB,MOMI-X,MOMI-Y,MOMI-Z,MOMI-XY,MOMI-XZ,MOMI-YZ,MOMI-R,FMF,TopoPSA,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,PPSA-1,PPSA-2,PPSA-3,PNSA-1,PNSA-2,PNSA-3,DPSA-1,DPSA-2,DPSA-3,FPSA-1,FPSA-2,FPSA-3,FNSA-1,FNSA-2,FNSA-3,WPSA-1,WPSA-2,WPSA-3,WNSA-1,WNSA-2,WNSA-3,RPCG,RNCG,RPCS,RNCS,THSA,TPSA,RHSA,RPSA,GRAV-1,GRAV-2,GRAV-3,GRAVH-1,GRAVH-2,GRAVH-3,GRAV-4,GRAV-5,GRAV-6,LOBMAX,LOBMIN,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,tpsaEfficiency,nAtomP,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,fragC,Kier1,Kier2,Kier3,naAromAtom,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nHBAcc,nB,nA,nR,nN,nD,nC,nF,nQ,nE,nG,nH,nI,nP,nL,nK,nM,nS,nT,nY,nV,nW
Diphenyl sulfone,159.38,241.029351,352,22,2.45,2,2,2,2,0,0,0,2,0,0,0,1.2,0.167,0.622,0.167,0.431,0.0255,0.117,0.017,0,25,12,0,0,0,0,0,14,8.08,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,2.93,8.6,59.6,1.13,2.04,7.37,0.107,0.193,0,0,0,0.349,0.556,0.602,10.5,25.7,53.2,0.274,0,1.51,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,32,-0.219,0.207,6.91,11.6,0,0.5,1,0.61,0,17.4,190,192,5,3,0,3,32.3,0,76,30.2,2.01,8.48,4.99,0,10.7,7.21,6.49,5.31,4.03,3.04,1.45,0.998,8.2,4.93,3.62,2.55,1.66,1.07,0.462,0.26,2,1400,1340,512,1.05,2.74,2.61,5.33,0.52,42.5,0.155,-0.0499,-0.0115,-0.0155,-4.24E-04,221,215,14,177,-172,-20.6,44.4,388,34.5,0.556,0.542,0.0351,0.444,-0.433,-0.0518,87.8,85.6,5.55,70.1,-68.4,-8.18,0.212,0.223,0.206,7.37,330,67.2,0.831,0.169,1660,40.7,11.8,1760,42,12.1,3030,55.1,14.5,1.58,1.58,0,0,0,0.204,0.102,0,0,0,0.0642,0.0393,0,0,0,12,0,0,0,0,0,2.91,4.1,5.53,0.91,1.09,1.18,0.195,15,22.7,24.5,30.8,31.3,24,466,11.5,4.89,2.57,12,1170,1340,1840,1750,1300,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silibinin,206.36,505.110497,3740,67,3.11,5,3,3,3,0,0,0,5,0,0,0,2.69,0,0.793,0,1.06,0,0.17,0,0.24,57,18,0,0,1.23,1.99,0,6.78,30.1,0,23.9,0,0,1.83,3.52,1.1,0,0,0,0,0,0,2.62,6.88,120,2.08,2.79,27.7,0.0637,0.0856,0,0,0,0.403,0.389,0.584,32.6,141,334,0.388,0,1.38,0,0,0,0,0,0,1,0,1,0,0,8,4,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,16,-0.418,0.199,4.61,10.3,0,0.467,0.875,0.92,0,32.7,408,907,6.29,2,0,2.1,66.7,0,194,72.1,2.06,27.6,27.6,0,24.9,16.8,15.6,14,12.1,9.92,7.53,5.63,18.4,10.7,8.2,6,4.28,3.02,1.83,1.16,4,14000,13500,1880,1.03,7.43,7.18,9.6,0.456,155,1.12,-0.339,-0.446,0.0857,0.196,473,1760,51.7,274,-1020,-70.6,199,2780,122,0.633,2.36,0.0692,0.367,-1.37,-0.0946,353,1320,38.6,205,-763,-52.7,0.0585,0.105,1.64,2.96,416,330,0.558,0.442,3210,56.6,14.7,3470,58.9,15.1,7620,87.3,19.7,1.25,1.12,0,0,0,0.293,0.799,0,0,0,0.0998,0.18,0,0,0,16,3,1,4,0,0,6.93,11.7,17.2,2.17,2.96,3.61,0.322,11,42.7,43.6,66.3,80.2,76.3,2530,26.6,11,5.18,18,2320,2810,4160,4600,4130,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butachlor,184.3,334.154407,936,31,2.89,1,1,1,1,0,0,0,1,0,0,0,0.816,0,0.253,0,0.404,0,0.0882,0,0.588,47,6,4,0.356,6.21,2.76,0,10.9,13.1,0,3.3,0,0,0,0.25,0,0,0,0,0,0,0,4.97,24.7,88,2.73,3.35,6.94,0.21,0.257,0,0,0,0.477,0.446,0.399,13,51.3,128,0.15,0,1.32,0,0,0,0,0,0,3,0,7,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,35,-0.365,0.23,5.09,11.5,0,0.5,1,0.719,0,33.7,313,333,5.39,10,0,4.33,52.1,0,94,41.2,1.96,11.4,5.5,3.45,15.7,10.2,7.74,6.55,5.03,3.98,2.55,1.5,14.1,8.27,5.25,3.74,2.44,1.65,0.922,0.496,10,2990,2530,1530,1.18,1.96,1.66,6.75,0.128,29.5,0.426,-0.258,0.0749,-0.0813,0.0469,398,621,15,153,-238,-23.4,245,859,38.4,0.723,1.13,0.0272,0.277,-0.432,-0.0425,220,342,8.27,84.3,-131,-12.9,0.147,0.234,0.0278,2.39,522,29.2,0.947,0.0529,1650,40.7,11.8,1920,43.8,12.4,3970,63,15.8,1.26,1.21,0,0,0,0.068,0.136,0,0,0,0.0241,0.0448,0,0,1,4,2,5,4,0,0,2.44,4.15,6.12,1.08,1.64,2.09,0.0949,9,30.6,24.4,30.2,38.9,40.3,1790,19,10.7,5.61,6,1360,1520,1990,2240,2160,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propyzamide,175.555,278.010969,448,21,2.34,1,1,1,1,0,0,0,1,0,0,0,2.19,0.25,0.118,0,1.26,0.125,0.017,0,0.3,27,6,4,1.14,2.82,2.46,2.38,1.79,7.49,1.28,2.94,1.14,0,0,0,0,0,0,0,0,0,0,4.14,17.2,65.8,0.686,2.23,8.73,0.0589,0.191,0,0,0,0.225,0.435,0.574,11.6,27,52,0.312,0,1.23,0,0,0,0,0,0,2,0,0,1,0,3,0,0,1,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,35,-0.275,0.232,5.07,10,0,0.5,1,0.866,0,14.5,227,200,5,6,0,3.58,34.7,0,78,30.8,1.93,10.5,2.53,2.92,12.3,7.34,7.38,4.85,3.66,2.47,1.29,0.876,10.5,5.36,4.75,2.35,1.6,0.849,0.445,0.24,3,3000,2320,790,1.29,3.81,2.94,6.6,0.222,29.1,0.235,-0.119,0.0594,-0.0303,-0.119,209,231,12.1,256,-283,-30.4,-46.7,515,42.5,0.45,0.498,0.0261,0.55,-0.61,-0.0654,97,108,5.63,119,-132,-14.1,0.21,0.248,0.982,4.23,441,23.5,0.949,0.0506,1390,37.3,11.2,1510,38.8,11.5,3000,54.8,14.4,1.82,1.71,0,0,0,0.068,0.175,0,0,0,0.0241,0.0666,1,1,1,5,1,2,0,1,0,2.94,4.1,5.16,1.16,1.44,1.4,0.114,9,32.6,20.6,32.4,30.3,36.5,489,14.1,5.56,4.42,6,1030,1160,1530,1370,1150,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ritodrine,175.44,310.141344,1110,28,2.89,2,2,2,2,0,0,0,2,0,0,0,1.38,0,0.232,0,0.604,0,0.0621,0,0.294,42,12,3,0,2.03,1.79,0,10.6,16.3,0,3.56,0,0,0.318,0,0,0,0,0,0,0,0,2.6,6.78,82.4,1.06,3.89,12,0.0624,0.229,0,0,0,0.428,0.419,0.5,17,63.7,130,0.282,0,1.35,0,0,0,0,0,0,1,0,2,0,0,8,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11.9,16,-0.386,0.107,4.76,9.39,1,0.5,1,0.786,0,23.6,278,468,5.46,6,0,2.44,47.4,0,102,41.9,2,10.6,7.57,2.99,15.2,10.1,8.91,7.11,4.89,3.88,2.34,1.34,12,7.04,5.2,3.52,2.18,1.41,0.739,0.406,6,4670,3910,1080,1.19,4.31,3.61,7.69,0.405,72.7,0.264,-0.0924,-0.0882,0.081,0.0207,375,708,31,181,-341,-35.7,194,1050,66.6,0.675,1.28,0.0558,0.325,-0.615,-0.0643,208,393,17.2,100,-190,-19.8,0.115,0.204,3.28,5.19,399,157,0.718,0.282,1670,40.9,11.9,1910,43.7,12.4,3450,58.7,15.1,1.31,1.29,0,0,0,0.167,0.274,0,0,0,0.0556,0.0605,0,0,0,10,2,2,3,0,0,2.89,3.42,4.34,1.07,1.16,1.2,0.253,7,23.7,23.3,31.5,31.2,23.3,1430,17.4,8.59,5.61,12,1220,1360,1730,1640,1260,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIISODECYL PHTHALATE,229.301,469.32881,4140,38,4.1,1,1,1,1,0,0,0,1,0,0,0,1.56,0,0.248,0,1.04,0,0.0449,0,0.714,78,6,9,0.589,7.36,2.82,0,25.3,18.5,0,2.97,0,0,0.2,1.26,0.2,0,0,0,0,0,0,9.26,85.8,132,0.758,9.07,59.5,0.0109,0.131,0,0,0,0.387,0.356,0.581,69.3,592,1070,0.394,0,1.33,0,0,0,0,0,0,4,0,14,0,0,4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,16,-0.313,0.295,4.96,9.67,0,0.478,0.917,0.761,0,56,492,1070,6,12,0,11.3,83.2,2,140,62.9,1.97,11.1,11.1,0,23.6,15.4,12.8,8.72,6.48,4.77,2.99,2.02,21,12.8,9.72,5.68,3.69,2.35,1.38,0.842,20,24600,20800,4160,1.18,5.92,5.01,13.5,0.0769,52.6,0.545,-0.364,0.194,-0.0325,-0.325,792,1810,28.2,148,-338,-20.3,645,2150,48.5,0.843,1.93,0.03,0.157,-0.359,-0.0216,745,1700,26.5,139,-317,-19.1,0.129,0.136,0.218,1.2,877,63.4,0.933,0.0674,2340,48.4,13.3,2810,53,14.1,4930,70.2,17,2.81,2.81,0,0,0,0.0833,0.0962,0,0,0,0.0278,0.0278,0,0,2,4,2,6,12,2,0,2.52,3.51,4.66,1.08,1.07,1,0.118,12,35.1,34,41.5,42,43.3,5090,30,19.3,15.5,6,1740,1840,2150,2130,2010,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiobencarb,163.36,280.053313,505,20,2.34,1,1,1,1,0,0,0,1,0,0,0,0.895,0,0.118,0,0.53,0,0.0559,0,0.417,32,6,2,0.25,3.01,1.1,0,6.21,8.26,0,0.794,0,0,0,0,0,0,0,0,0,0,0,3.73,13.9,71.2,1.02,2.13,12.8,0.0641,0.134,0,0,0,0.469,0.417,0.587,15.9,42.4,86.2,0.352,0,1.47,0,0,0,0,0,0,2,0,3,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,35,-0.268,0.261,5.8,10.4,0,0.5,1,0.909,0,23.1,236,246,5,6,0,3.28,38.8,0,72,31.2,1.95,11.2,2.52,3.2,12,7.67,6.26,5.02,3.45,2.21,1.26,0.728,11.1,6.69,4.72,3.53,2.35,1.39,0.84,0.483,6,3740,3600,394,1.04,9.51,9.14,6.53,0.188,45.6,0.237,-0.187,0.144,-0.0827,0.0144,319,328,13.9,179,-184,-19.8,140,512,33.7,0.64,0.658,0.0278,0.36,-0.369,-0.0398,159,163,6.91,89.3,-91.7,-9.89,0.255,0.26,0.993,5.99,471,27.1,0.946,0.0543,1400,37.4,11.2,1560,39.5,11.6,2890,53.7,14.2,2.07,2.07,0,0,0,0.0833,0.142,0,0,0,0.0278,0.0511,0,0,0,5,1,5,0,0,0,1.96,2.42,2.31,1.14,1.4,1.19,0.177,6,31,22.1,31.1,31.7,24.8,784,14.1,7.35,4.82,6,1110,1200,1460,1370,1010,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ethiofencarb,152.77,248.07155,396,18,2.23,1,1,1,1,0,0,0,1,0,0,0,0.622,0,0.0833,0,0.203,0,0.0241,0,0.364,30,6,2,0.111,2.41,1.42,0,5.96,7.08,0,1.65,0,0,0,0.5,0,0,0,0,0,0,0,2.49,6.21,63.3,0.787,5.45,7.31,0.0581,0.402,0,0,0,0.467,0.432,0.472,13.5,49.9,94.8,0.155,0,1.37,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,32,-0.28,0.342,4.31,10.3,0,0.444,0.8,0.705,0,22.2,212,199,4.91,4,0,2.54,35,0,66,29.4,1.96,11.1,5.48,2.7,11.1,7.27,5.7,4.4,3.12,2.55,1.52,0.885,9.76,5.98,4.16,2.76,1.75,1.25,0.69,0.36,6,1970,1250,914,1.58,2.16,1.37,6.05,0.2,63.6,0.33,-0.286,0.211,-0.118,0.068,336,400,17.4,136,-162,-17.4,200,562,34.8,0.712,0.846,0.0367,0.288,-0.343,-0.0368,159,189,8.2,64.4,-76.6,-8.23,0.288,0.223,0.706,2.23,429,43.9,0.907,0.0928,1320,36.3,11,1480,38.4,11.4,2670,51.6,13.9,1.24,1.05,0,0,0,0.0833,0.118,0,0,0,0.0278,0.031,0,0,0,5,1,3,0,0,0,1.38,1.9,2.58,0.486,0.69,0.811,0.283,10,23,19.7,23.9,23.5,23.2,690,13.1,7.3,4.57,6,904,970,1170,1140,952,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIFLUBENZURON,176.19,333.021262,1020,30,2.23,2,2,2,2,0,0,0,2,0,0,0,1.6,0,0.236,0,0.546,0,0.04,0,0,30,12,0,0,0,0,0,4.94,12.8,0,6.37,0,0,0.25,0,0,0,0,0,0.5,0,0,3.47,12,72.8,0.707,1.4,16.9,0.0372,0.0736,0,0,0,0.419,0.479,0.587,19,36.6,72.3,0.417,0,1.49,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.9,35,-0.274,0.283,4.49,8.93,0,0.5,1,0.897,0,15.9,250,408,5.46,5,0,4.46,37.7,0,104,41.8,1.99,18.7,5.07,6.01,15.4,9.97,9.14,6.94,5.85,3.8,2.36,1.27,11.2,6.17,4.45,2.77,1.7,1.05,0.455,0.203,5,5640,5480,502,1.03,11.2,10.9,7.11,0.533,58.2,0.5,-0.24,0.194,-0.411,0.308,217,376,18.7,290,-501,-43.5,-72.7,877,62.2,0.428,0.741,0.0368,0.572,-0.99,-0.0859,110,190,9.46,147,-254,-22,0.164,0.158,1.33,4.91,365,142,0.72,0.28,1980,44.5,12.6,2080,45.6,12.8,4340,65.9,16.3,2.48,2.48,0,0,0,0.151,0.318,0,0,0,0.0518,0.0756,0,0,1,11,1,0,0,0,0,3,5.14,6.06,0.832,0.921,0.915,0.188,18,34,26.4,39.1,40.1,39.5,541,17.4,8.02,5,12,1110,1260,1650,1550,1260,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPRODIONE,194.08,352.022597,915,32,2.01,2,1,2,1,0,0,1,1,0,0,0,2.06,0,0.373,0,1.03,0,0.0755,0,0.308,34,6,3,0.5,1.06,2.98,0,1.98,9.85,0,6.06,0,0,0.696,0,0,0,0,0,0,0.707,0.5,2.88,8.28,77.8,0.479,2.99,12.8,0.0295,0.184,0,0,0,0.223,0.42,0.566,16.3,45.8,80.4,0.34,0,1.21,0,0,0,0,0,0,2,0,1,0,0,3,1,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,35,-0.278,0.297,5.11,10.5,0,0.5,1,0.932,0,22.5,272,333,5.46,5,0,2.6,41.6,0,108,41.5,1.98,22.4,7.66,9.72,15.7,9.79,9.6,6.92,6.49,4.13,3.07,1.65,12.9,6.96,5.7,3.16,2.42,1.31,0.838,0.375,4,4950,3920,1130,1.26,4.39,3.47,7.31,0.324,69.7,0.6,-0.424,0.423,-0.458,0.197,254,440,14.9,277,-480,-42.8,-23.4,920,57.8,0.478,0.827,0.0281,0.522,-0.903,-0.0806,135,234,7.94,147,-255,-22.8,0.171,0.161,1.42,5.58,427,104,0.804,0.196,2010,44.8,12.6,2150,46.3,12.9,4640,68.1,16.7,3.06,3.06,0,0,0.0786,0.316,0.603,0,0,0.0354,0.0883,0.145,0,0,1,6,0,3,1,0,0,3.65,6.79,8.59,1.29,1.88,1.95,0.212,15,39.8,28.2,44.6,44.5,56.2,805,17.4,7.05,4.05,6,1380,1620,2260,2180,2020,6,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bezafibrate,193.205,384.097286,1880,35,2.89,2,2,2,2,0,0,0,2,0,0,0,2.44,0.204,0.815,0.204,1.21,0.102,0.0999,0.0186,0.263,45,12,3,0.5,2.68,1.94,2,11.4,15.6,1.58,2.77,1.26,0,0.454,0.693,0,0,0,0,0,0,0,3.84,14.8,95.5,1.08,1.61,25.3,0.0386,0.0574,0,0,0,0.446,0.358,0.554,28,69.9,142,0.428,0,1.36,0,0,0,0,0,0,2,0,2,0,0,8,0,0,0,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.9,35,-0.33,0.291,4.25,9.13,0,0.5,1,0.968,0,26.8,331,640,5.7,5,1,3.85,53.3,0,124,49.6,1.98,15.8,10.3,3.01,18.4,11.8,11.2,8.48,5.52,4.43,2.81,1.79,14.8,8.21,6.51,3.87,2.21,1.5,0.778,0.439,8,10800,10600,644,1.02,16.8,16.5,8.55,0.356,75.6,0.549,-0.258,-0.101,0.147,-0.0171,364,741,23.5,266,-541,-40.9,98.3,1280,64.4,0.578,1.18,0.0374,0.422,-0.86,-0.0649,229,467,14.8,167,-341,-25.7,0.143,0.162,0.162,1.51,498,132,0.791,0.209,2150,46.4,12.9,2370,48.7,13.3,4690,68.5,16.7,3.17,3.17,0,0,0,0.167,0.249,0,0,0,0.0556,0.0764,0,0,2,10,2,3,1,1,0,4.87,4.66,5.73,1.52,1.37,1.37,0.209,9,36.2,29.9,44.2,43.9,31.6,1520,21.3,9.8,6.91,12,1470,1640,2140,2000,1600,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deltamethrin,206.32,525.96237,2240,39,3.22,3,2,3,2,1,0,0,2,0,0,0,2.51,0.167,0.365,0,2.54,0.167,0.213,0,0.286,47,12,2,0.5,2.62,3.73,2,12.9,18.8,1.52,7.6,2.62,0,0,0.535,0.2,0,0,0,0,0,0,5.63,31.7,114,2.25,3.63,17.2,0.0972,0.157,0,0,0,0.283,0.363,0.648,23.1,110,274,0.309,0,1.29,0,0,0,0,0,0,2,0,0,0,1,9,3,0,1,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,78.9,-0.31,0.267,4.58,11.9,0,0.467,0.875,0.781,0,28.8,380,680,5.91,6,0,5.84,61,2,146,56,2,16,8.71,2.48,20.3,13.3,12.5,9.39,7.77,6.09,3.57,2.45,18.6,10.4,9.99,5.32,3.6,2.8,1.34,0.571,7,11200,10800,2680,1.03,4.17,4.04,9.26,0.404,59.3,0.536,-0.258,-0.00557,0.081,-0.15,361,682,20.1,359,-679,-43.6,1.51,1360,63.6,0.501,0.946,0.0278,0.499,-0.942,-0.0605,260,491,14.4,259,-489,-31.4,0.142,0.164,0.472,2.29,622,98,0.864,0.136,2750,52.4,14,2940,54.2,14.3,7090,84.2,19.2,1.59,1.51,0.167,0.547,0.496,1.12,1.36,0.167,0.513,0.407,0.66,0.959,1,0,2,12,1,2,1,2,1,4.29,6.54,8.64,2.83,3.18,4.58,0.118,13,117,43.1,98.2,54.7,67.4,1650,22.7,9.87,5.8,12,1980,2300,2900,2780,2730,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metalaxyl,168.34,302.136258,754,32,2.56,1,1,1,1,0,0,0,1,0,0,0,1.36,0,0.473,0,0.651,0,0.153,0,0.467,41,6,3,1.71,4.37,8.95,0,2.32,8.06,0,6.68,0,0,0.2,1.09,0.167,0,0,0,0,0,0,2.38,5.65,76.1,2.73,2.89,6.37,0.228,0.241,0,0,0,0.467,0.336,0.336,12,43.7,106,0.149,0,1.14,0,0,0,0,0,0,5,0,1,0,0,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,-0.402,0.279,4.61,11.2,0,0.5,1,0.86,0,30.7,278,244,5.32,9,0,1.58,44.7,0,94,38.7,1.94,13.8,10.4,3.41,15.3,9.43,8.05,6.63,5.11,3.6,2.14,1.07,12.6,6.39,4.64,3.15,2.19,1.27,0.612,0.25,7,2120,1770,1140,1.2,1.86,1.56,6.05,0.146,55.8,0.675,-0.402,-0.0465,0.333,-0.334,377,675,17.6,123,-221,-25.1,254,896,42.7,0.754,1.35,0.0352,0.246,-0.441,-0.0501,189,338,8.83,61.8,-111,-12.6,0.156,0.209,0.054,3.42,426,75,0.85,0.15,1670,40.9,11.9,1880,43.4,12.3,3890,62.4,15.7,1.37,1.01,0,0,0,0.068,0.175,0,0,0,0.0241,0.0589,0,0,2,4,2,4,1,0,0,3.48,5.68,8.44,1.36,2.02,2.48,0.2,9,23.5,22.5,30.5,36.8,38.2,1300,18,8.44,4.5,6,1220,1390,1910,2130,2010,5,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
